original_term,code,standardized_term,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70
['low blood pressure'],317002,Low blood pressure,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure,Low blood pressure
['migraine'],318736,Migraine,Clinical finding,Finding by site,Finding by site,Finding by site,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,Vascular disorder,Vascular disorder,Vascular disorder,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine,Migraine
['cardiac disease'],321588,Heart disease,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease,Heart disease
['Insulin Resistance / Impaired glucose metabolism'],35622016,Insulin resistance,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Disorder of endocrine system,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance,Insulin resistance
"['functional post stroke outcome', 'mRS_follow_up', 'functional outcome (e.g. measured by mRS)', 'mRS_stroke']",3654822,Assessment using Modified Rankin Scale,Procedure,Procedure,Procedure,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using assessment scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale,Assessment using Modified Rankin Scale
"['antiplatelet therapy (e.g. ASS)', 'Mono-/Dual Antiplatelet Therapy']",3655005,Platelet aggregation inhibitor therapy,Procedure,Procedure,Procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Drug therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy,Platelet aggregation inhibitor therapy
['dependency'],36713755,Functionally dependent,Clinical finding,Functional finding,Functional finding,Functional finding,Functional finding,Functional finding,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent,Functionally dependent
['dissection of cerebral vessel'],37016924,Dissection of cerebral artery,Clinical finding,Finding by site,Finding by site,Finding by site,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,Disorder of soft tissue,Disorder of soft tissue,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Soft tissue lesion,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery,Dissection of cerebral artery
['Prediabetes'],37018196,Prediabetes,Clinical finding,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes,Prediabetes
"['preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)']",37018765,Gestational diabetes mellitus complicating pregnancy,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder of glucose metabolism,Disorder of body system,Disorder of body system,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Disorder of glucose metabolism,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Diabetes mellitus,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy,Gestational diabetes mellitus complicating pregnancy
['elevated CRP'],37108742,C-reactive protein above reference range,Clinical finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding above reference range,Measurement finding above reference range,Measurement finding above reference range,Measurement finding above reference range,Measurement finding above reference range,Measurement finding above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range,C-reactive protein above reference range
['microbleeds'],37109909,Silent micro-hemorrhage of brain,Clinical finding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Bleeding,Silent micro-hemorrhage of brain,Silent micro-hemorrhage of brain,Silent micro-hemorrhage of brain
['post stroke epilepsy'],37110522,Epilepsy due to cerebrovascular accident,Clinical finding,Disease,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Central nervous system complication,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident,Epilepsy due to cerebrovascular accident
['healthy (mediterranean) diet'],37150978,Mediterranean diet,Procedure,Procedure,Procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet,Mediterranean diet
['endovascular interventions'],37153627,Percutaneous transluminal procedure on blood vessel,Procedure,Procedure,Procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Vascular surgery procedure,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel,Percutaneous transluminal procedure on blood vessel
"['Lipoprotein a', 'Lipoprotein (a)']",37167374,Lipoprotein (a) hyperlipoproteinemia,Clinical finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Evaluation finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Measurement finding,Finding of substance level,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia,Lipoprotein (a) hyperlipoproteinemia
['myocardial infarction (type 2)'],37309626,Myocardial infarction due to demand ischemia,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Disorder of body system,Disorder of body system,Disorder of cardiovascular system,Heart disease,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia,Myocardial infarction due to demand ischemia
